authoritative_issue_row,severity,layer,case_id,issue_code,issue,evidence,recommended_action,v4_resolution_status,v4_resolution_evidence
36,HIGH,neutral_fact,KR_c93d64dedb05abdc5b,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_A]는 제왕절개술로 출산된 신생아였고, [INSTITUTION_A] 의료진이 진료하였다. 원고 측은 [INSTITUTION_A] 의료진이 대사성 산증의 원인 검사와 후속 검사를 하지 않았고, 혈압과 소변량을 측정하지 않았으며, 중단한 인공호흡기 치료를 다시 시행하지 않았다고 주장하였다. 출생 직후 [PERSON_A]에게 주산기 가사의 징후가 있었고, [INSTITUTION_A] 의료진은 선천성 기형과 패혈증 등에 대한 검사를 시행하였다. 일부 검사 결과가 나오기 전에 [PERSON_A]는 출생 후 42시간 만에 급속히 악화되어 사망하였다. [INSTITUTION_A] 의료진은 [PERSON_A]에게 중탄산나트륨을 투여했고, 혈액의 pH가 7.309로 회복된 뒤 [PERSON_A]의 자가호흡이 양호해지자 출생 후 12시간 만에 인공호흡기와 기관내 삽관을 제거하고 동맥혈가스 분석검사를 시행하였다. [INSTITUTION_A] 의료진은 중탄산나트륨 추가 투여 없이 동맥혈가스","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_c93d64dedb05abdc5b"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""ee7500acf872f13db7c468d3d58c6a0ff9f7b36cb82bd535bf3a3ee8918f6c88"", ""source_opinion_sha256"": ""2e1294bd04c477cb0c223d839b3d482763c857c9bc8c36f214d0a110663c93a6""}"
37,HIGH,neutral_fact,KR_a41002435a915c75d1,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","이 사건 당사자 중에는 [ORGANIZATION_A], [PERSON_B], [PERSON_C], [PERSON_D]가 포함되어 있었다. [PERSON_B]은 산부인과 전문의였고, [PERSON_C]는 내과 전문의였으며 [PERSON_D]는 간호조무사였다. 2004년 2월 18일 10시 50분경 [PERSON_B]은 [PERSON_A]에게 마취유도 후 소음순 절제술을 시작하였다. 수술 중 [PERSON_A]가 계속 움직이자 [PERSON_D]가 적정 투여량보다 많은 마취제를 투여하였다. 10시 57분경 맥박산소계측기에서 경고음이 울렸고 [PERSON_A]의 호흡이 정지되었다. [PERSON_C]는 [PERSON_B]의 요청을 받아 [PERSON_A]에게 기관내 삽관을 시도하였으나 실패하였고, 앰부를 사용하여 인공호흡을 하였다. 11시 10분경 [PERSON_A]는 구급차로 이송되었고, 11시 20분경 [INSTITUTION_A] 응급실에 도착하였다. [PERSON_A]가 [INSTI","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_a41002435a915c75d1"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""78441d361aa96fae67df47d5ee493cd455e01d8ccb2e81dce6ab72eedb369d48"", ""source_opinion_sha256"": ""64c2397db290db596985d88ac3f13e8334fbea9b3b1da7455e740a04abd51892""}"
38,HIGH,neutral_fact,KR_bcc14552a5ebdd0945,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_D]는 환자였고, [PERSON_B]와 [PERSON_C] 및 [COMPANY_A]는 진료에 관여한 당사자들이었다. [PERSON_A]는 기계판막을 사용한 승모판막 치환술을 받았다. [PERSON_B]는 [PERSON_A]에게 수술 후 상처 통증에 관해 설명했지만 수술 부위 통증과 심장 통증을 구분한 주의사항은 설명하지 않았다. [PERSON_C]도 그 사항을 설명하지 않았다. [PERSON_A]는 2004년 6월 12일 19시경 호흡 곤란 등의 통증을 느꼈지만 즉시 [COMPANY_A]를 찾아가지 않았다. [PERSON_B]와 [PERSON_C]는 [PERSON_A]에게 항응고제의 효과와 부작용, 복용 시 유의사항 및 즉시 진료가 필요한 경우를 구두로 설명하지 않았다. [PERSON_A]는 같은 날 21시 30분경 호흡 곤란이 심해지고 심장이 전기처럼 튀듯 두근거린다고 하며 [PERSON_D]에게 구급대를 불러 달라고 했다. [PERSON_A]는 구급대를 기다리던 중","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_bcc14552a5ebdd0945"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""265b3eed474992b4a7604d0bf63c29654fd332f32ceffe7c2c1ed8f83eeddfbc"", ""source_opinion_sha256"": ""65532bad4a44bfd2802f94945da353bf949901f0394baf362445f44b234a814f""}"
39,HIGH,neutral_fact,KR_fdfefa335ed21439c0,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","당사자는 [PERSON_A]와 [PERSON_B], [ORGANIZATION_A] 및 그 소속 의료진이다. 1998. 11. 25. [PERSON_C]는 [ORGANIZATION_A]가 운영하는 [INSTITUTION_A]에서 [PERSON_A]를 진료하였다. 1998. 11. 25. 09:20경, 임신 35주 6일인 [PERSON_A]를 진찰한 [PERSON_C]는 쌍태아 중 한 태아가 사망한 것을 확인하고 생존 태아를 관찰하기 위해 입원하도록 권유하였다. [INSTITUTION_A]에서는 같은 날 11:36경부터 13:40경까지 두 차례 태아감시장치에 의한 비수축검사를 실시하였다. [PERSON_D]는 같은 날 18:50경 퇴근하면서 [PERSON_E]에게 태아감시장치로 [PERSON_A]와 태아의 상태를 관찰하고 이상이 있으면 전화로 연락하도록 지시하였다. [PERSON_E]는 같은 날 19:50경부터 22:00경까지 [PERSON_A]의 복부에 태아감시장치를 부착하여 [PER","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""KR_fdfefa335ed21439c0"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""60049cae186f8d92b4d42c17ab6113bbbb5acd43e37dac0073ba4086473fbad3"", ""source_opinion_sha256"": ""e731873cd637c54fef9a817cdb0ebcff0cfe700d8943fd39ba73a5060031a109""}"
40,HIGH,neutral_fact,KR_1e296dbb0bcebaab8f,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","이 사건의 한 당사자는 [COMPANY_A]이고 다른 당사자는 [PERSON_A]이다. [COMPANY_A]는 [PERSON_GROUP_A]와 보험계약을 체결하였고, [PERSON_A]는 [PERSON_GROUP_A]와 진료계약을 체결하였다. [PERSON_A]는 [PERSON_GROUP_A]에게 요양급여 대상 진료를 제공하면서 이를 비급여 대상 진료로 분류하고, 환자 본인부담금을 초과하는 진료비를 받았다. [PERSON_A]는 [PERSON_GROUP_A]에게 요양급여 대상 진료를 비급여 항목으로 기재한 진료비 청구서를 작성하여 교부하고 그 진료비를 받았다. [COMPANY_A]는 [PERSON_GROUP_A]에게 비급여 금액과 환자 부담분의 차액에 상응하는 보험금을 추가로 지급하였다.","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_6a3e8f577c00b9c20c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""5c558db310d17037588e3ca04bbbb47a5d381b6a39dae365c8a050012a28d729"", ""reason"": ""procedural-role wording; minimum other-to-medical domain swap""}"
41,HIGH,neutral_fact,US_00df5ba88ee9d43fd5,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[COMPANY_A] hired [COMPANY_B] in 2004 to relocate a gas pipeline on a large tract of wooded, unimproved land. On August 7, 2004, [COMPANY_B] drove a small bulldozer, with its blade raised off the ground, through an area containing grave sites. The plaintiffs alleged that the graves were not indicated on any map, identified in a deed, marked by an obvious sign, included on a government-maintained list, or otherwise reasonably identifiable as an area containing graves. [COMPANY_B] contended that t","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_00df5ba88ee9d43fd5"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""40d177395f926b37cf598f31c879fed3df2913faf0ac7c21e54b1c49bc9fda82"", ""source_opinion_sha256"": ""dd36e253e2da87e1ea441cb2774aa8e0a4b6066496413a72b1ad11aab12ce808""}"
42,HIGH,neutral_fact,US_0cdf24e76568435f05,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_A], a fifteen-day-old infant, was admitted to [INSTITUTION_A] and was treated for a respiratory problem. During the stay in the pediatric intensive care unit, [PERSON_A] was under the care of [PERSON_B]. After [PERSON_A] was moved from the pediatric intensive care unit to the general hospital ward, physicians there discovered fractures in both of [PERSON_A]’s legs. Both of [PERSON_A]’s legs were fractured during the hospital stay. The plaintiffs alleged that an arterial line was improper","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_0cdf24e76568435f05"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""addc2b1001a8ef4d7bb2c286df69b8f40b90004b0c6fd5893ec5bb81a873c6bc"", ""source_opinion_sha256"": ""d547363f23311ff4bf921584954533970cd1bd01fbe26cd9a1a04673d21e82ae""}"
43,HIGH,neutral_fact,US_15e86d45f19b975195,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","In December 2010, [PERSON_A] and [PERSON_B], the paternal grandparents of [PERSON_C], were granted legal guardianship of [PERSON_C]. After the guardianship was granted, [PERSON_C] resided with [PERSON_A] and [PERSON_B] at [LOCATION_A]. The initial petition alleged that [PERSON_F] engaged in domestic violence in the presence of [PERSON_C]’s sister, failed to maintain the sister’s hygiene, and failed to provide the children with necessary food, clothing, supervision, and housing. As to [PERSON_C],","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_15e86d45f19b975195"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""366b343b59d1cb34b0a7d184360c1b986733ebdafeb085046f24c57433db64e1"", ""source_opinion_sha256"": ""c98f58285e97b1c3f76658e8fa4516e635b56779e7f485c729b5da6d1d04897e""}"
44,HIGH,neutral_fact,US_1aba36d98e0653f066,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_B] was a supervisor at [COMPANY_A]'s assembly plant where [PERSON_A] worked. [PERSON_A] alleged that, while she was working in the summer of 1995, [PERSON_B] exposed himself while masturbating and requested that she perform oral sex. [PERSON_A] further claimed that [PERSON_B] repeatedly grabbed, rubbed, and touched his groin, licked his lips, and made sexually related comments. [PERSON_A] had not filed a formal written complaint of sexual harassment under [COMPANY_A]'s antiharassment pol","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_1aba36d98e0653f066"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""151d2869ef402df95ee35f3bce04b57174c99548f51f9503ccc1fe09fc7dc8c7"", ""source_opinion_sha256"": ""5b8d0ef34c1cf5d5731ca0e6b0fe83dcd4ed2ae6cb7960fd805b9a32b0455cca""}"
45,HIGH,neutral_fact,US_47210f2421779c756f,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","On November 6, 1998, [PERSON_A] was involved in a single-vehicle accident, was hospitalized at [INSTITUTION_A], and was transferred to [INSTITUTION_B] for rehabilitation therapy. The accident caused [PERSON_A] to suffer spinal cord injuries and paraplegia. While receiving rehabilitation therapy at [INSTITUTION_B], [PERSON_A] developed pressure wounds on the buttocks and sacrum. The pressure wounds became infected, requiring [PERSON_A] to return to [INSTITUTION_A] for surgical debridement and the","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_47210f2421779c756f"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""1b18e65ff80446eaeee3e59f9125f15a2a2c9e61cc69092524b487a6c3c5528f"", ""source_opinion_sha256"": ""309f505622262ac867039ab9df6a1088bfc136e2fd4220e7a66448ef89b6990d""}"
46,HIGH,neutral_fact,US_63ffb974f8488a5664,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_A] and [PERSON_B] were spouses and jointly brought a claim concerning injuries that [PERSON_A] attributed to records including [PRODUCT_A]. In February 1996, [COMPANY_A] distributed [PRODUCT_A], in which [PERSON_C] responded to [PERSON_A]'s campaign against gangsta-rap. The lyrics referred to prostitution and asserted that [PERSON_A] was interested only in money and had sold out Black interests to white politicians. From 1993 through 1997, [PERSON_A] led a high-profile campaign against g","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_63ffb974f8488a5664"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""35ac73509c890817f25f3bb6075bcb47d928227ef553bd062ddeba644a5ff528"", ""source_opinion_sha256"": ""ecfee5d5ee60b01623e053fee505c602ccc5c1a62ad977bd305c718a7a380df2""}"
47,HIGH,neutral_fact,US_6e861d05305c993ccb,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_A] was the mother of [PERSON_B] and filed suit individually and on behalf of [PERSON_B]'s half-siblings, [PERSON_C] and [PERSON_D]. [PERSON_B] was involved in an ongoing feud with [PERSON_E]. Before the incident, [PERSON_B] had been expelled from [ORGANIZATION_A] and was attending [ORGANIZATION_B]. On December 14, 2009, [PERSON_B] was dropped off behind [ORGANIZATION_A] after classes at [ORGANIZATION_B] had ended and began walking home. [PERSON_F] allegedly instigated a fight between [PE","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_6e861d05305c993ccb"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""369acf600201d690f6d3c21b6e042847b822a51ef833f1e399c3cd1722c11130"", ""source_opinion_sha256"": ""8a657c91667fffbadf3817aa5801a74721c684b405a6f3c09db123e7c7e25113""}"
48,HIGH,neutral_fact,US_71162df598a424d867,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_B] took a prescription for [PRODUCT_A] to be refilled at [COMPANY_A] for his wife, [PERSON_A], who was taking the medication on her physician's orders to control symptoms of restless leg syndrome. [PERSON_C] allegedly refilled [PERSON_A]'s prescription with [PRODUCT_A] tablets containing eight times the prescribed dosage. [PERSON_C] was allegedly an employee of [COMPANY_A], allegedly was not a licensed pharmacist, and allegedly was not acting under a pharmacist's supervision. On November","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_71162df598a424d867"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""19870f52dc53f4cfdcacf9580d15d6475145c7a5d78b801286e8fe3afa28a762"", ""source_opinion_sha256"": ""e3c5025190324869014183abd818e905524050f8b7d6bf00fe586d61a5f459a2""}"
49,HIGH,neutral_fact,US_74c861440b330e42dc,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[ORGANIZATION_A] hired [COMPANY_A], a general contractor, to construct improvements to [LOCATION_A]. After construction was completed, [COMPANY_B] filed a complaint against [COMPANY_A] for unpaid amounts due on its completed work. [COMPANY_A] brought a third-party complaint against [ORGANIZATION_A] concerning indemnity, contribution, and wrongful interference with a prospective business advantage. [COMPANY_A]'s expert prepared a report on delay damages allegedly caused by [ORGANIZATION_A]. [COMP","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_0bdc6cb112770284df"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""afd691e64b7914c25084068f5a791f28d0ef33095393374ea0d755bee0e87a33"", ""reason"": ""source-scope recheck: the controlling opinion concerns discovery conduct and trial sanctions in a construction-contract dispute, not civil-liability merits""}"
50,HIGH,neutral_fact,US_b24ef2018816af9946,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","On March 15, 2008, a multi-vehicle accident occurred. [PERSON_A] sustained injuries and filed suit against [PERSON_B], who was alleged to have caused the accident. [PERSON_A] alleged that [COMPANY_C], the alleged manufacturer and distributor of [VEHICLE_A], failed to deploy the airbag, and that [COMPANY_A] and [COMPANY_B] failed to preserve [VEHICLE_A] for inspection despite notice that preservation was needed to determine whether defects existed. [PERSON_A] alleged that shortly after the accide","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_b24ef2018816af9946"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""dd16d1c66b2ee1ee2a05c5dd352cacc627c6be47d804f78ba21794ac176e0529"", ""source_opinion_sha256"": ""934699e9a60a76c2f197f3ab2ad0fc049a0ae3b79cdf2ac2dbec284c90353c0f""}"
51,HIGH,neutral_fact,US_b473e7585c6e5638dd,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","[PERSON_A] was admitted to [INSTITUTION_A]'s [LOCATION_A] after an aneurysm caused her to suffer a stroke and subsequently go into cardiac arrest. While in [LOCATION_A], [PERSON_A] needed assistance to use the restroom. The complaint alleges that [PERSON_B], acting alone, tried to move [PERSON_A] to the bathroom. The complaint alleges that [PERSON_B] dropped [PERSON_A] while attempting to move [PERSON_A] to the bathroom and then dropped [PERSON_A] a second time while attempting to assist [PERSON","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_b473e7585c6e5638dd"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""8c5d549fd1f569cdcd1ea46d0a7bee3e9d634d688a5a1e259fc9a819cc15d83f"", ""source_opinion_sha256"": ""ef9b27cfba2965d84d9c212b426c732a0944ec41388af5cb1c7d164108b63823""}"
52,HIGH,neutral_fact,US_b732d6870be7eac6fb,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.","Plaintiffs were water users and property owners in [LOCATION_A]. The defendants included [PERSON_A], the state government, [ORGANIZATION_B], the state health department, and former city emergency managers [PERSON_B] and [PERSON_C]. On April 16, 2013, [PERSON_A] authorized a contract to explore an alternative water-delivery system. Plaintiffs alleged that [PERSON_A] and various state officials knew that [LOCATION_B] would be an interim drinking-water source and knew of a 2011 study cautioning aga","Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_b732d6870be7eac6fb"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""0f4886d34e6c5d972147a8e2a6a5b129179aa96db95189b04ea35b6d0b9bc353"", ""source_opinion_sha256"": ""a796eec3644a5c3e8598b40d0e1ff141ef58b1c2b481414126c697e7f5e454b9""}"
53,HIGH,neutral_fact,US_d15af88bf67507bd93,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.",The plaintiffs alleged that [ORGANIZATION_A] was responsible for mine reclamation and that [COMPANY_A] was the independent contractor contracted to carry out reclamation of [PROPERTY_A]. The plaintiffs alleged that [ORGANIZATION_A] and [COMPANY_A] carried out improper reclamation activities. The plaintiffs alleged that they sustained injuries. The plaintiffs alleged that the improper reclamation activities of [ORGANIZATION_A] and [COMPANY_A] resulted in their injuries.,"Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_b267b8668935378e25"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""a7e8dc813fe99b1a2775e9e4f0c56928820f06895f2492b2e3ce9cf273b4676f"", ""reason"": ""source-scope recheck: implied-indemnity defense costs after the underlying action""}"
54,HIGH,neutral_fact,US_3f0101285fcc76e2b1,LITIGATION_ROLE_OR_PLEADING_LANGUAGE,"Neutral fact retains litigation-role/pleading vocabulary such as plaintiff/defendant, complaint/petition, filed suit, or 'parties to the case'.",[PERSON_A] was allegedly exposed to defendants' respective [PRODUCT_A] while working as a machinist with [COMPANY_C] from 1947 until 1979. [PERSON_A] allegedly sustained pleural effusion and parenchymal scarring. [PERSON_A] allegedly sustained pleural effusion and parenchymal scarring as a result of the alleged exposure to [PRODUCT_A]. [COMPANY_A] is a business corporation and a manufacturer of beverage cans. [COMPANY_A] purchased a majority of the stock of [COMPANY_B] in November 1963. [COMPANY,"Rewrite the same factual allegation using entity placeholders and epistemic status, without procedural-role labels.",RESOLVED,"{""action"": ""retained_and_reaudited_or_text_corrected"", ""case_id"": ""US_3f0101285fcc76e2b1"", ""final_qc_pass"": true, ""neutral_fact_source_sha256"": ""93be17daeae3078ff6038e596848451d7d3f5467357f1dc248dbdd421d189e48"", ""source_opinion_sha256"": ""30871bbab63af580ea369af9aa4d1f9db1b205007d583a5ab8d10fff60d15b4e""}"
55,MEDIUM,source_case,US_231c5e7fb867d9b8c2,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,"Central issue is contractual indemnity, duty to defend, and attorney-fee allocation in a construction contract.","Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_2999172a4de14d7523"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""ef8700a3c584de5c026ec4fe0c037cdcca777978e9d4836503bf377e710e6cb1"", ""reason"": ""source-scope recheck: contractual indemnity and defense-cost allocation, not direct civil-liability merits""}"
56,MEDIUM,source_case,US_d15af88bf67507bd93,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,Central appeal concerns implied indemnity/defense costs after an underlying civil action.,"Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_b267b8668935378e25"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""a7e8dc813fe99b1a2775e9e4f0c56928820f06895f2492b2e3ce9cf273b4676f"", ""reason"": ""source-scope recheck: implied-indemnity defense costs after the underlying action""}"
57,MEDIUM,source_case,US_7f556627654c5d3f9a,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,"Central issue concerns post-judgment Patient Compensation Fund advance custodial-care payments, not original malpractice liability.","Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_97456da392d82990a3"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""39087d9159a7b042deea32f4f23407bd840f359203de4e1c7fe781c42121d357"", ""reason"": ""source-scope recheck: post-judgment compensation-fund payment procedure""}"
58,MEDIUM,source_case,US_04cf5031ab373b2ef6,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,"High court reviews dismissal/pleading sufficiency across fraud, contract, negligence and related claims arising from mortgage fraud.","Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""US_107f5beb1553bc775c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""bff72e75318e0438cc179ef422739abeade42dd8df7375106e09c70b9aaac723"", ""reason"": ""source-scope recheck: multi-claim mortgage pleading appeal, not a clean substantive civil-liability merits case""}"
59,MEDIUM,source_case,KR_adf561060b125d6b87,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,Supreme Court opinion focuses heavily on automobile insurance benefit standards and disability-grade/payment calculations.,"Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_e61f8571b55fd48e4c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""dfb15f7a7d50c08b1a8556b7ea8c1bc2d5bab9500a3da5d4d0739da0c4b1167f"", ""reason"": ""HARD legal-rule leakage and controlling source omitted the accident conduct needed for a sufficient neutral fact""}"
60,MEDIUM,source_case,KR_882ce243b36c889fda,SCOPE_REVIEW_REQUIRED,Case may be within the broad 'civil liability and damages' umbrella but does not cleanly match the intended substantive-merits core.,Case title and primary Supreme Court issue concern special-hiring obligations under a collective agreement; tort damages are an additional claim.,"Human-adjudicate against a written inclusion rule before freezing. If retained, tag the narrower subtype so 'other' does not hide composition differences.",RESOLVED,"{""action"": ""source_level_replacement"", ""new_case_id"": ""KR_1346b7ea49f678b93c"", ""new_final_qc_pass"": true, ""new_source_opinion_sha256"": ""0e202c2d265e80d7ce1bd3251ad26d8531cbf340fd47306d9a834680fcb81671"", ""reason"": ""source-scope recheck: controlling opinion centered on a special-hiring clause rather than the civil-liability merits""}"
